min,mean,max,price
94.81933048,111.550999,128.2826675,1.5
96.34108511,105.7795766,115.2180681,1.5
92.02414619,96.78175663,101.5393671,1.5
84.83406498,87.71069199,90.58731899,1.5
74.97497511,82.91827393,90.86157275,1.5
79.34181935,97.4010704,115.4603214,1.5
84.06903523,100.5909343,117.1128334,1.5
26.16556003,66.8447402,107.5239204,1.5
66.48660143,92.90364028,119.3206791,1.5
32.34617736,69.53224799,106.7183186,1.5
47.67108664,64.89429955,82.11751246,1.5
60.55945317,72.91659817,85.27374317,1.5
57.38859176,73.8349271,90.28126243,1.5
35.8469137,57.44944694,79.05198018,1.5
45.76843226,56.33590506,66.90337786,1.5
35.84170656,58.35077007,80.85983359,1.5
35.80700972,55.84258033,75.87815094,1.5
38.40609658,50.87038726,63.33467794,1.5
34.19224377,40.80532163,47.4183995,1.5
55.61190707,76.53620182,97.46049657,1.5
39.45163126,66.53429262,93.61695397,1.5
32.52042514,54.66290455,76.80538397,1.5
37.57484483,55.97236537,74.36988592,1.5
43.22395452,57.69311877,72.16228301,
40.63245752,53.96323324,67.29400895,
39.76658359,53.56135289,67.35612219,
40.16923289,53.4743894,66.77954592,
37.3171644,52.02678949,66.73641459,
32.48716512,47.57567783,62.66419054,
29.64915956,44.93633729,60.22351502,
31.01789548,45.52317247,60.02844946,
34.86025993,48.56604134,62.27182274,
38.8914556,51.67343999,64.45542437,
42.49218711,55.45739321,68.42259931,
38.77680094,52.14477763,65.51275432,
36.63872695,50.67826863,64.7178103,
38.96159345,52.45800224,65.95441103,
40.03630318,52.29113252,64.54596185,
41.94151518,55.6031567,69.26479822,
38.51463544,51.97123036,65.42782527,
38.20563736,56.64763968,75.08964199,
37.14068763,53.37011515,69.59954268,
33.52033223,47.43714523,61.35395824,
32.21314759,44.67764704,57.1421465,
34.3232697,47.21154172,60.09981374,
32.48546474,46.19663933,59.90781393,
34.00033533,46.35910081,58.7178663,
31.9503091,44.50942491,57.06854072,
31.21473285,43.20694119,55.19914952,
30.60684048,43.86643625,57.12603203,
33.15735577,45.88236756,58.60737934,
33.40656144,46.41231554,59.41806965,
31.06130007,45.29220013,59.52310019,
31.45680179,44.14571142,56.83462105,
31.54196339,43.85429717,56.16663094,
32.74573377,45.03883656,57.33193935,
32.19200389,44.54742989,56.90285589,
35.7903444,48.15227491,60.51420543,
42.09276962,55.88647389,69.68017815,
30.29796539,51.61738397,72.93680255,
41.8454097,58.64522734,75.44504498,
26.55137294,50.98970707,75.4280412,
29.1667177,50.5471491,71.9275805,
26.13559222,44.79312724,63.45066225,
34.64758099,52.26980738,69.89203376,
36.97970537,51.03597143,65.09223749,
37.89463291,50.85329023,63.81194755,
35.55399778,47.83879114,60.12358449,
30.86436281,45.23288689,59.60141097,
33.19201636,45.82802844,58.46404052,
33.19096606,46.23892635,59.28688663,
33.60975329,47.24313454,60.87651578,
30.04241927,48.06034749,66.07827572,
31.05857906,51.88885969,72.71914032,
17.77998187,60.72655261,103.6731233,
14.689312,61.30201238,107.9147128,
16.28423901,85.44729719,154.6103554,
24.81872587,89.357062,153.8953981,
28.4571555,73.61289235,118.7686292,
18.37073865,55.23741491,92.10409117,
52.81558816,80.0564245,107.2972608,
57.72284154,71.64720591,85.57157028,
56.82817132,122.6999145,188.5716577,
89.77612423,125.2721892,160.7682541,
14.96903256,86.74057754,158.5121225,
84.45841708,124.786093,165.1137689,
56.08972805,97.88064313,139.6715582,
51.89248572,71.32451524,90.75654475,
59.01091917,94.33267261,129.6544261,
83.48737693,107.6836311,131.8798852,
85.47887504,106.0627832,126.6466914,
42.75401998,78.5659454,114.3778708,
63.0045144,98.6572445,134.3099746,
80.59101371,97.86058305,115.1301524,
88.86476561,98.06091914,107.2570727,
73.80035335,88.69639121,103.5924291,
