time,load,load96
1,21967.99367,21967.99367
2,20424.48831,21967.99367
3,18418.12597,21967.99367
4,17440.44281,20424.48831
5,17131.93638,20424.48831
6,17028.97114,20424.48831
7,17029.16578,20424.48831
8,19189.87865,18418.12597
9,21813.4485,18418.12597
10,27832.84693,18418.12597
11,27832.92479,18418.12597
12,28038.46598,17440.44281
13,24797.47453,17440.44281
14,26238.03412,17440.44281
15,29479.20075,17440.44281
16,28655.98492,17131.93638
17,26906.82157,17131.93638
18,26546.54056,17131.93638
19,24540.17822,17131.93638
20,25054.61513,17028.97114
21,25775.17715,17028.97114
22,24231.67179,17028.97114
23,23562.88434,17028.97114
24,22945.48219,17029.16578
,,17029.16578
,,17029.16578
,,17029.16578
,,19189.87865
,,19189.87865
,,19189.87865
,,19189.87865
,,21813.4485
,,21813.4485
,,21813.4485
,,21813.4485
,,27832.84693
,,27832.84693
,,27832.84693
,,27832.84693
,,27832.92479
,,27832.92479
,,27832.92479
,,27832.92479
,,28038.46598
,,28038.46598
,,28038.46598
,,28038.46598
,,24797.47453
,,24797.47453
,,24797.47453
,,24797.47453
,,26238.03412
,,26238.03412
,,26238.03412
,,26238.03412
,,29479.20075
,,29479.20075
,,29479.20075
,,29479.20075
,,28655.98492
,,28655.98492
,,28655.98492
,,28655.98492
,,26906.82157
,,26906.82157
,,26906.82157
,,26906.82157
,,26546.54056
,,26546.54056
,,26546.54056
,,26546.54056
,,24540.17822
,,24540.17822
,,24540.17822
,,24540.17822
,,25054.61513
,,25054.61513
,,25054.61513
,,25054.61513
,,25775.17715
,,25775.17715
,,25775.17715
,,25775.17715
,,24231.67179
,,24231.67179
,,24231.67179
,,24231.67179
,,23562.88434
,,23562.88434
,,23562.88434
,,23562.88434
,,22945.48219
,,22945.48219
,,22945.48219
,,22945.48219
,,22945.48219
