gen68 state,gen68 power,ALWAYS_OFF_gen2 state,ALWAYS_OFF_gen2 power,gen25 state,gen25 power,gen55 state,gen55 power,gen58 state,gen58 power,ALWAYS_OFF_gen66 state,ALWAYS_OFF_gen66 power,gen57 state,gen57 power,ALWAYS_OFF_gen14 state,ALWAYS_OFF_gen14 power,gen52 state,gen52 power,gen18 state,gen18 power,gen33 state,gen33 power,gen69 state,gen69 power,gen26 state,gen26 power,ALWAYS_OFF_gen65 state,ALWAYS_OFF_gen65 power,gen17 state,gen17 power,gen49 state,gen49 power,gen44 state,gen44 power,ALWAYS_OFF_gen4 state,ALWAYS_OFF_gen4 power,gen45 state,gen45 power,ALWAYS_OFF_gen13 state,ALWAYS_OFF_gen13 power,ALWAYS_OFF_gen67 state,ALWAYS_OFF_gen67 power,ALWAYS_OFF_gen1 state,ALWAYS_OFF_gen1 power,gen9 state,gen9 power,gen7 state,gen7 power,gen34 state,gen34 power,ALWAYS_OFF_gen3 state,ALWAYS_OFF_gen3 power,gen61 state,gen61 power,gen36 state,gen36 power,gen12 state,gen12 power,gen21 state,gen21 power,gen10 state,gen10 power,gen19 state,gen19 power,ALWAYS_OFF_gen22 state,ALWAYS_OFF_gen22 power,ALWAYS_OFF_gen24 state,ALWAYS_OFF_gen24 power,ALWAYS_OFF_gen5 state,ALWAYS_OFF_gen5 power,ALWAYS_OFF_gen23 state,ALWAYS_OFF_gen23 power,ALWAYS_OFF_gen27 state,ALWAYS_OFF_gen27 power,ALWAYS_OFF_gen41 state,ALWAYS_OFF_gen41 power,ALWAYS_OFF_gen15 state,ALWAYS_OFF_gen15 power
1.0,1.5,0.0,0.0,1.0,3.28,1.0,1.37,1.0,2.65,0.0,0.0,1.0,1.45,0.0,0.0,1.0,2.85,1.0,3.17,1.0,3.72,1.0,1.08,1.0,1.84,0.0,0.0,1.0,1.84,1.0,3.34,1.0,2.7,0.0,0.0,1.0,1.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,1.5,0.0,0.0,1.0,3.28,1.0,1.37,1.0,2.65,0.0,0.0,1.0,1.45,0.0,0.0,1.0,2.85,1.0,3.17,1.0,3.72,1.0,1.08,1.0,1.84,0.0,0.0,1.0,1.84,1.0,3.34,1.0,2.7,0.0,0.0,1.0,1.84,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.84,1.0,1.275,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,1.5,0.0,0.0,1.0,3.28,1.0,1.37,1.0,2.65,0.0,0.0,1.0,1.45,0.0,0.0,1.0,2.85,1.0,3.17,1.0,3.72,1.0,1.08,1.0,1.84,0.0,0.0,1.0,1.84,1.0,3.34,1.0,2.7,0.0,0.0,1.0,1.84,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.168,1.0,0.255,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,1.5,0.0,0.0,1.0,3.28,1.0,1.37,1.0,2.65,0.0,0.0,1.0,1.45,0.0,0.0,1.0,2.85,1.0,3.17,1.0,3.72,1.0,1.08,1.0,1.84,0.0,0.0,1.0,1.84,1.0,3.34,1.0,2.7,0.0,0.0,1.0,1.84,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.168,1.0,0.255,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,1.5,0.0,0.0,1.0,3.28,1.0,1.37,1.0,2.65,0.0,0.0,1.0,1.45,0.0,0.0,1.0,2.85,1.0,3.17,1.0,3.72,1.0,1.08,1.0,1.84,0.0,0.0,1.0,1.84,1.0,3.34,1.0,2.7,0.0,0.0,1.0,1.84,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.84,1.0,0.255,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,1.5,0.0,0.0,1.0,3.28,1.0,1.37,1.0,2.65,0.0,0.0,1.0,1.45,0.0,0.0,1.0,2.85,1.0,3.17,1.0,3.72,1.0,1.08,1.0,1.84,0.0,0.0,1.0,1.84,1.0,3.34,1.0,2.7,0.0,0.0,1.0,1.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,1.5,0.0,0.0,1.0,3.28,1.0,1.37,1.0,2.65,0.0,0.0,1.0,1.45,0.0,0.0,1.0,2.85,1.0,3.17,1.0,3.72,1.0,1.08,1.0,1.84,0.0,0.0,1.0,1.84,1.0,3.34,1.0,2.7,0.0,0.0,1.0,1.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,1.5,0.0,0.0,1.0,3.28,1.0,1.37,1.0,2.65,0.0,0.0,1.0,1.45,0.0,0.0,1.0,2.85,1.0,3.17,1.0,3.72,1.0,1.08,1.0,1.84,0.0,0.0,1.0,1.84,1.0,3.34,1.0,2.7,0.0,0.0,1.0,1.84,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,1.5,0.0,0.0,1.0,3.28,1.0,1.37,1.0,2.65,0.0,0.0,1.0,1.45,0.0,0.0,1.0,2.85,1.0,3.17,1.0,3.72,1.0,1.08,1.0,1.84,0.0,0.0,1.0,1.84,1.0,3.34,1.0,2.7,0.0,0.0,1.0,1.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,1.5,0.0,0.0,1.0,3.28,1.0,1.37,1.0,2.65,0.0,0.0,1.0,1.45,0.0,0.0,1.0,2.85,1.0,3.17,1.0,3.72,1.0,1.08,1.0,1.84,0.0,0.0,1.0,1.84,1.0,3.34,1.0,2.7,0.0,0.0,1.0,1.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
